4,4,6,2,0,5,
13,13,6,2,0,5,
0,7,7,8,8,0,
1,9,10,11,11,11,
1,9,10,12,12,0,

0,0,0,3,3,5,
4,4,6,2,0,5,
13,13,6,2,0,5,
0,7,7,8,8,0,
1,9,10,11,11,11,
1,9,10,12,12,0,

0,0,6,3,3,5,
4,4,6,2,0,5,
13,13,0,2,0,5,
0,7,7,8,8,0,
1,9,10,11,11,11,
1,9,10,12,12,0,

0,0,6,3,3,5,
4,4,6,2,0,5,
0,13,13,2,0,5,
0,7,7,8,8,0,
1,9,10,11,11,11,
1,9,10,12,12,0,

0,0,6,3,3,0,
4,4,6,2,0,5,
0,13,13,2,0,5,
0,7,7,8,8,5,
1,9,10,11,11,11,
1,9,10,12,12,0,

0,0,6,0,3,3,
4,4,6,2,0,5,
0,13,13,2,0,5,
0,7,7,8,8,5,
1,9,10,11,11,11,
1,9,10,12,12,0,

0,0,6,2,3,3,
4,4,6,2,0,5,
0,13,13,0,0,5,
0,7,7,8,8,5,
1,9,10,11,11,11,
1,9,10,12,12,0,

0,0,6,2,3,3,
4,4,6,2,0,5,
0,0,13,13,0,5,
0,7,7,8,8,5,
1,9,10,11,11,11,
1,9,10,12,12,0,

0,0,6,2,3,3,
4,4,6,2,0,5,
0,0,0,13,13,5,
0,7,7,8,8,5,
1,9,10,11,11,11,
1,9,10,12,12,0,

0,0,0,2,3,3,
4,4,6,2,0,5,
0,0,6,13,13,5,
0,7,7,8,8,5,
1,9,10,11,11,11,
1,9,10,12,12,0,

0,0,0,2,3,3,
4,4,6,2,0,5,
0,0,6,13,13,5,
7,7,0,8,8,5,
1,9,10,11,11,11,
1,9,10,12,12,0,

0,0,6,2,3,3,
4,4,6,2,0,5,
0,0,0,13,13,5,
7,7,0,8,8,5,
1,9,10,11,11,11,
1,9,10,12,12,0,

0,0,0,2,3,3,
4,4,0,2,0,5,
0,0,6,13,13,5,
7,7,6,8,8,5,
1,9,10,11,11,11,
1,9,10,12,12,0,

0,0,0,2,3,3,
0,4,4,2,0,5,
0,0,6,13,13,5,
7,7,6,8,8,5,
1,9,10,11,11,11,
1,9,10,12,12,0,

0,0,0,2,3,3,
0,4,4,2,0,5,
0,0,6,13,13,5,
7,7,6,8,8,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,0,0,2,3,3,
4,4,0,2,0,5,
0,0,6,13,13,5,
7,7,6,8,8,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,0,0,2,3,3,
4,4,6,2,0,5,
0,0,6,13,13,5,
7,7,0,8,8,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,0,6,2,3,3,
4,4,6,2,0,5,
0,0,0,13,13,5,
7,7,0,8,8,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,0,6,2,3,3,
4,4,6,2,0,5,
0,0,13,13,0,5,
7,7,0,8,8,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,0,6,2,3,3,
4,4,6,2,0,5,
0,0,13,13,0,5,
0,7,7,8,8,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,0,6,2,3,3,
4,4,6,2,0,5,
0,13,13,0,0,5,
0,7,7,8,8,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,0,6,0,3,3,
4,4,6,2,0,5,
0,13,13,2,0,5,
0,7,7,8,8,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,0,6,3,3,0,
4,4,6,2,0,5,
0,13,13,2,0,5,
0,7,7,8,8,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,0,6,3,3,5,
4,4,6,2,0,5,
0,13,13,2,0,5,
0,7,7,8,8,0,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,0,6,3,3,5,
4,4,6,2,0,5,
1,13,13,2,0,5,
1,7,7,8,8,0,
0,9,10,11,11,11,
0,9,10,0,12,12,

0,0,6,3,3,0,
4,4,6,2,0,5,
1,13,13,2,0,5,
1,7,7,8,8,5,
0,9,10,11,11,11,
0,9,10,0,12,12,

0,0,6,0,3,3,
4,4,6,2,0,5,
1,13,13,2,0,5,
1,7,7,8,8,5,
0,9,10,11,11,11,
0,9,10,0,12,12,

0,0,6,2,3,3,
4,4,6,2,0,5,
1,13,13,0,0,5,
1,7,7,8,8,5,
0,9,10,11,11,11,
0,9,10,0,12,12,

0,0,6,2,3,3,
4,4,6,2,0,5,
1,0,13,13,0,5,
1,7,7,8,8,5,
0,9,10,11,11,11,
0,9,10,0,12,12,

0,0,6,2,3,3,
4,4,6,2,0,5,
1,0,0,13,13,5,
1,7,7,8,8,5,
0,9,10,11,11,11,
0,9,10,0,12,12,

0,0,0,2,3,3,
4,4,6,2,0,5,
1,0,6,13,13,5,
1,7,7,8,8,5,
0,9,10,11,11,11,
0,9,10,0,12,12,

0,0,0,2,3,3,
4,4,6,2,0,5,
0,0,6,13,13,5,
1,7,7,8,8,5,
1,9,10,11,11,11,
0,9,10,0,12,12,

0,0,6,2,3,3,
4,4,6,2,0,5,
0,0,0,13,13,5,
1,7,7,8,8,5,
1,9,10,11,11,11,
0,9,10,0,12,12,

0,0,6,2,3,3,
4,4,6,2,0,5,
0,0,13,13,0,5,
1,7,7,8,8,5,
1,9,10,11,11,11,
0,9,10,0,12,12,

0,0,6,2,3,3,
4,4,6,2,0,5,
0,0,13,13,0,5,
1,7,7,8,8,5,
1,9,10,11,11,11,
0,9,10,12,12,0,

0,0,6,2,3,3,
4,4,6,2,0,5,
0,13,13,0,0,5,
1,7,7,8,8,5,
1,9,10,11,11,11,
0,9,10,12,12,0,

0,0,6,0,3,3,
4,4,6,2,0,5,
0,13,13,2,0,5,
1,7,7,8,8,5,
1,9,10,11,11,11,
0,9,10,12,12,0,

0,0,6,3,3,0,
4,4,6,2,0,5,
0,13,13,2,0,5,
1,7,7,8,8,5,
1,9,10,11,11,11,
0,9,10,12,12,0,

0,0,6,3,3,5,
4,4,6,2,0,5,
0,13,13,2,0,5,
1,7,7,8,8,0,
1,9,10,11,11,11,
0,9,10,12,12,0,

0,0,6,3,3,5,
4,4,6,2,0,5,
1,13,13,2,0,5,
1,7,7,8,8,0,
0,9,10,11,11,11,
0,9,10,12,12,0,

0,0,6,3,3,5,
4,4,6,2,0,5,
1,13,13,2,0,5,
1,7,7,0,8,8,
0,9,10,11,11,11,
0,9,10,12,12,0,

0,0,6,3,3,5,
4,4,6,2,0,5,
1,13,13,2,0,5,
1,0,7,7,8,8,
0,9,10,11,11,11,
0,9,10,12,12,0,

0,0,6,3,3,5,
4,4,6,2,0,5,
0,13,13,2,0,5,
1,0,7,7,8,8,
1,9,10,11,11,11,
0,9,10,12,12,0,

0,0,6,3,3,5,
4,4,6,2,0,5,
13,13,0,2,0,5,
1,0,7,7,8,8,
1,9,10,11,11,11,
0,9,10,12,12,0,

0,0,0,3,3,5,
4,4,6,2,0,5,
13,13,6,2,0,5,
1,0,7,7,8,8,
1,9,10,11,11,11,
0,9,10,12,12,0,

0,0,3,3,0,5,
4,4,6,2,0,5,
13,13,6,2,0,5,
1,0,7,7,8,8,
1,9,10,11,11,11,
0,9,10,12,12,0,

0,3,3,0,0,5,
4,4,6,2,0,5,
13,13,6,2,0,5,
1,0,7,7,8,8,
1,9,10,11,11,11,
0,9,10,12,12,0,

3,3,0,0,0,5,
4,4,6,2,0,5,
13,13,6,2,0,5,
1,0,7,7,8,8,
1,9,10,11,11,11,
0,9,10,12,12,0,

3,3,6,0,0,5,
4,4,6,2,0,5,
13,13,0,2,0,5,
1,0,7,7,8,8,
1,9,10,11,11,11,
0,9,10,12,12,0,

3,3,6,2,0,5,
4,4,6,2,0,5,
13,13,0,0,0,5,
1,0,7,7,8,8,
1,9,10,11,11,11,
0,9,10,12,12,0,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,13,13,0,0,5,
1,0,7,7,8,8,
1,9,10,11,11,11,
0,9,10,12,12,0,

3,3,6,0,0,5,
4,4,6,2,0,5,
0,13,13,2,0,5,
1,0,7,7,8,8,
1,9,10,11,11,11,
0,9,10,12,12,0,

3,3,6,0,0,5,
4,4,6,2,0,5,
1,13,13,2,0,5,
1,0,7,7,8,8,
0,9,10,11,11,11,
0,9,10,12,12,0,

3,3,6,2,0,5,
4,4,6,2,0,5,
1,13,13,0,0,5,
1,0,7,7,8,8,
0,9,10,11,11,11,
0,9,10,12,12,0,

3,3,6,2,0,5,
4,4,6,2,0,5,
1,0,13,13,0,5,
1,0,7,7,8,8,
0,9,10,11,11,11,
0,9,10,12,12,0,

3,3,6,2,0,5,
4,4,6,2,0,5,
1,0,0,13,13,5,
1,0,7,7,8,8,
0,9,10,11,11,11,
0,9,10,12,12,0,

3,3,0,2,0,5,
4,4,6,2,0,5,
1,0,6,13,13,5,
1,0,7,7,8,8,
0,9,10,11,11,11,
0,9,10,12,12,0,

0,3,3,2,0,5,
4,4,6,2,0,5,
1,0,6,13,13,5,
1,0,7,7,8,8,
0,9,10,11,11,11,
0,9,10,12,12,0,

0,3,3,2,0,5,
4,4,6,2,0,5,
0,0,6,13,13,5,
1,0,7,7,8,8,
1,9,10,11,11,11,
0,9,10,12,12,0,

3,3,0,2,0,5,
4,4,6,2,0,5,
0,0,6,13,13,5,
1,0,7,7,8,8,
1,9,10,11,11,11,
0,9,10,12,12,0,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,0,13,13,5,
1,0,7,7,8,8,
1,9,10,11,11,11,
0,9,10,12,12,0,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,13,13,0,5,
1,0,7,7,8,8,
1,9,10,11,11,11,
0,9,10,12,12,0,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,13,13,0,5,
0,0,7,7,8,8,
1,9,10,11,11,11,
1,9,10,12,12,0,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,13,13,0,0,5,
0,0,7,7,8,8,
1,9,10,11,11,11,
1,9,10,12,12,0,

3,3,6,0,0,5,
4,4,6,2,0,5,
0,13,13,2,0,5,
0,0,7,7,8,8,
1,9,10,11,11,11,
1,9,10,12,12,0,

3,3,6,0,0,5,
4,4,6,2,0,5,
0,13,13,2,0,5,
7,7,0,0,8,8,
1,9,10,11,11,11,
1,9,10,12,12,0,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,13,13,0,0,5,
7,7,0,0,8,8,
1,9,10,11,11,11,
1,9,10,12,12,0,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,13,13,0,5,
7,7,0,0,8,8,
1,9,10,11,11,11,
1,9,10,12,12,0,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,0,13,13,5,
7,7,0,0,8,8,
1,9,10,11,11,11,
1,9,10,12,12,0,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,0,13,13,5,
0,0,7,7,8,8,
1,9,10,11,11,11,
1,9,10,12,12,0,

3,3,0,2,0,5,
4,4,6,2,0,5,
0,0,6,13,13,5,
0,0,7,7,8,8,
1,9,10,11,11,11,
1,9,10,12,12,0,

0,3,3,2,0,5,
4,4,6,2,0,5,
0,0,6,13,13,5,
0,0,7,7,8,8,
1,9,10,11,11,11,
1,9,10,12,12,0,

0,3,3,2,0,5,
4,4,6,2,0,5,
0,0,6,13,13,5,
0,9,7,7,8,8,
1,9,10,11,11,11,
1,0,10,12,12,0,

3,3,0,2,0,5,
4,4,6,2,0,5,
0,0,6,13,13,5,
0,9,7,7,8,8,
1,9,10,11,11,11,
1,0,10,12,12,0,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,0,13,13,5,
0,9,7,7,8,8,
1,9,10,11,11,11,
1,0,10,12,12,0,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,13,13,0,5,
0,9,7,7,8,8,
1,9,10,11,11,11,
1,0,10,12,12,0,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,13,13,0,0,5,
0,9,7,7,8,8,
1,9,10,11,11,11,
1,0,10,12,12,0,

3,3,6,0,0,5,
4,4,6,2,0,5,
0,13,13,2,0,5,
0,9,7,7,8,8,
1,9,10,11,11,11,
1,0,10,12,12,0,

3,3,6,0,0,5,
4,4,6,2,0,5,
0,13,13,2,0,5,
1,9,7,7,8,8,
1,9,10,11,11,11,
0,0,10,12,12,0,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,13,13,0,0,5,
1,9,7,7,8,8,
1,9,10,11,11,11,
0,0,10,12,12,0,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,13,13,0,5,
1,9,7,7,8,8,
1,9,10,11,11,11,
0,0,10,12,12,0,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,0,13,13,5,
1,9,7,7,8,8,
1,9,10,11,11,11,
0,0,10,12,12,0,

3,3,0,2,0,5,
4,4,6,2,0,5,
0,0,6,13,13,5,
1,9,7,7,8,8,
1,9,10,11,11,11,
0,0,10,12,12,0,

0,3,3,2,0,5,
4,4,6,2,0,5,
0,0,6,13,13,5,
1,9,7,7,8,8,
1,9,10,11,11,11,
0,0,10,12,12,0,

0,3,3,2,0,5,
4,4,6,2,0,5,
1,0,6,13,13,5,
1,9,7,7,8,8,
0,9,10,11,11,11,
0,0,10,12,12,0,

3,3,0,2,0,5,
4,4,6,2,0,5,
1,0,6,13,13,5,
1,9,7,7,8,8,
0,9,10,11,11,11,
0,0,10,12,12,0,

3,3,6,2,0,5,
4,4,6,2,0,5,
1,0,0,13,13,5,
1,9,7,7,8,8,
0,9,10,11,11,11,
0,0,10,12,12,0,

3,3,6,2,0,5,
4,4,6,2,0,5,
1,0,13,13,0,5,
1,9,7,7,8,8,
0,9,10,11,11,11,
0,0,10,12,12,0,

3,3,6,2,0,5,
4,4,6,2,0,5,
1,13,13,0,0,5,
1,9,7,7,8,8,
0,9,10,11,11,11,
0,0,10,12,12,0,

3,3,6,0,0,5,
4,4,6,2,0,5,
1,13,13,2,0,5,
1,9,7,7,8,8,
0,9,10,11,11,11,
0,0,10,12,12,0,

3,3,6,0,0,5,
4,4,6,2,0,5,
1,13,13,2,0,5,
1,9,7,7,8,8,
0,9,10,11,11,11,
0,0,10,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
1,13,13,0,0,5,
1,9,7,7,8,8,
0,9,10,11,11,11,
0,0,10,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
1,0,13,13,0,5,
1,9,7,7,8,8,
0,9,10,11,11,11,
0,0,10,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
1,0,0,13,13,5,
1,9,7,7,8,8,
0,9,10,11,11,11,
0,0,10,0,12,12,

3,3,0,2,0,5,
4,4,6,2,0,5,
1,0,6,13,13,5,
1,9,7,7,8,8,
0,9,10,11,11,11,
0,0,10,0,12,12,

0,3,3,2,0,5,
4,4,6,2,0,5,
1,0,6,13,13,5,
1,9,7,7,8,8,
0,9,10,11,11,11,
0,0,10,0,12,12,

0,3,3,2,0,5,
4,4,6,2,0,5,
0,0,6,13,13,5,
1,9,7,7,8,8,
1,9,10,11,11,11,
0,0,10,0,12,12,

3,3,0,2,0,5,
4,4,6,2,0,5,
0,0,6,13,13,5,
1,9,7,7,8,8,
1,9,10,11,11,11,
0,0,10,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,0,13,13,5,
1,9,7,7,8,8,
1,9,10,11,11,11,
0,0,10,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,13,13,0,5,
1,9,7,7,8,8,
1,9,10,11,11,11,
0,0,10,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,13,13,0,0,5,
1,9,7,7,8,8,
1,9,10,11,11,11,
0,0,10,0,12,12,

3,3,6,0,0,5,
4,4,6,2,0,5,
0,13,13,2,0,5,
1,9,7,7,8,8,
1,9,10,11,11,11,
0,0,10,0,12,12,

3,3,6,0,0,5,
4,4,6,2,0,5,
0,13,13,2,0,5,
0,9,7,7,8,8,
1,9,10,11,11,11,
1,0,10,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,13,13,0,0,5,
0,9,7,7,8,8,
1,9,10,11,11,11,
1,0,10,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,13,13,0,5,
0,9,7,7,8,8,
1,9,10,11,11,11,
1,0,10,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,0,13,13,5,
0,9,7,7,8,8,
1,9,10,11,11,11,
1,0,10,0,12,12,

3,3,0,2,0,5,
4,4,6,2,0,5,
0,0,6,13,13,5,
0,9,7,7,8,8,
1,9,10,11,11,11,
1,0,10,0,12,12,

0,3,3,2,0,5,
4,4,6,2,0,5,
0,0,6,13,13,5,
0,9,7,7,8,8,
1,9,10,11,11,11,
1,0,10,0,12,12,

0,3,3,2,0,5,
4,4,6,2,0,5,
0,9,6,13,13,5,
0,9,7,7,8,8,
1,0,10,11,11,11,
1,0,10,0,12,12,

3,3,0,2,0,5,
4,4,6,2,0,5,
0,9,6,13,13,5,
0,9,7,7,8,8,
1,0,10,11,11,11,
1,0,10,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,9,0,13,13,5,
0,9,7,7,8,8,
1,0,10,11,11,11,
1,0,10,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,9,13,13,0,5,
0,9,7,7,8,8,
1,0,10,11,11,11,
1,0,10,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,13,13,0,5,
0,0,7,7,8,8,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,13,13,0,0,5,
0,0,7,7,8,8,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,0,0,5,
4,4,6,2,0,5,
0,13,13,2,0,5,
0,0,7,7,8,8,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,0,0,5,
4,4,6,2,0,5,
0,13,13,2,0,5,
7,7,0,0,8,8,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,13,13,0,0,5,
7,7,0,0,8,8,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,0,0,5,
4,4,6,0,0,5,
0,13,13,2,0,5,
7,7,0,2,8,8,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,0,0,5,
4,4,6,0,0,5,
13,13,0,2,0,5,
7,7,0,2,8,8,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
13,13,0,0,0,5,
7,7,0,0,8,8,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,13,13,0,5,
7,7,0,0,8,8,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,13,13,0,5,
7,7,0,8,8,0,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,13,13,0,0,5,
7,7,0,8,8,0,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,0,0,5,
4,4,6,2,0,5,
0,13,13,2,0,5,
7,7,0,8,8,0,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,0,0,0,
4,4,6,2,0,5,
0,13,13,2,0,5,
7,7,0,8,8,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,2,0,0,
4,4,6,2,0,5,
0,13,13,0,0,5,
7,7,0,8,8,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,2,0,0,
4,4,6,2,0,5,
0,0,13,13,0,5,
7,7,0,8,8,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,2,0,0,
4,4,6,2,0,5,
0,0,13,13,0,5,
0,7,7,8,8,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,13,13,0,5,
0,7,7,8,8,0,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,13,13,0,0,5,
0,7,7,8,8,0,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,0,0,5,
4,4,6,2,0,5,
0,13,13,2,0,5,
0,7,7,8,8,0,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,0,0,0,
4,4,6,2,0,5,
0,13,13,2,0,5,
0,7,7,8,8,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,2,0,0,
4,4,6,2,0,5,
0,13,13,0,0,5,
0,7,7,8,8,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,2,0,0,
4,4,6,2,0,5,
0,0,0,13,13,5,
0,7,7,8,8,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,0,2,0,0,
4,4,6,2,0,5,
0,0,6,13,13,5,
0,7,7,8,8,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,3,3,2,0,0,
4,4,6,2,0,5,
0,0,6,13,13,5,
0,7,7,8,8,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,3,3,2,0,5,
4,4,6,2,0,5,
0,0,6,13,13,5,
0,7,7,8,8,0,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,0,2,0,5,
4,4,6,2,0,5,
0,0,6,13,13,5,
0,7,7,8,8,0,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,0,13,13,5,
0,7,7,8,8,0,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,0,13,13,5,
7,7,0,8,8,0,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,0,13,13,5,
7,7,8,8,0,0,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,0,2,0,5,
4,4,6,2,0,5,
0,0,6,13,13,5,
7,7,8,8,0,0,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,3,3,2,0,5,
4,4,6,2,0,5,
0,0,6,13,13,5,
7,7,8,8,0,0,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,3,3,2,0,0,
4,4,6,2,0,5,
0,0,6,13,13,5,
7,7,8,8,0,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,0,2,0,0,
4,4,6,2,0,5,
0,0,6,13,13,5,
7,7,8,8,0,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,2,0,0,
4,4,6,2,0,5,
0,0,0,13,13,5,
7,7,8,8,0,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,2,0,0,
4,4,6,2,0,5,
0,0,13,13,0,5,
7,7,8,8,0,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,13,13,0,5,
7,7,8,8,0,0,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,13,13,0,0,5,
7,7,8,8,0,0,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,0,0,5,
4,4,6,2,0,5,
0,13,13,2,0,5,
7,7,8,8,0,0,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,0,0,5,
4,4,6,2,0,5,
13,13,0,2,0,5,
7,7,8,8,0,0,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,0,0,0,5,
4,4,6,2,0,5,
13,13,6,2,0,5,
7,7,8,8,0,0,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,3,3,0,0,5,
4,4,6,2,0,5,
13,13,6,2,0,5,
7,7,8,8,0,0,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,0,3,3,0,5,
4,4,6,2,0,5,
13,13,6,2,0,5,
7,7,8,8,0,0,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,0,0,3,3,5,
4,4,6,2,0,5,
13,13,6,2,0,5,
7,7,8,8,0,0,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,0,6,3,3,5,
4,4,6,2,0,5,
13,13,0,2,0,5,
7,7,8,8,0,0,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,0,6,3,3,5,
4,4,6,2,0,5,
0,13,13,2,0,5,
7,7,8,8,0,0,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,0,6,3,3,0,
4,4,6,2,0,5,
0,13,13,2,0,5,
7,7,8,8,0,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,0,6,0,3,3,
4,4,6,2,0,5,
0,13,13,2,0,5,
7,7,8,8,0,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,0,6,2,3,3,
4,4,6,2,0,5,
0,13,13,0,0,5,
7,7,8,8,0,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,0,6,2,3,3,
4,4,6,2,0,5,
13,13,0,0,0,5,
7,7,8,8,0,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,0,0,2,3,3,
4,4,6,2,0,5,
13,13,6,0,0,5,
7,7,8,8,0,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,0,0,0,3,3,
4,4,6,2,0,5,
13,13,6,2,0,5,
7,7,8,8,0,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,0,0,3,3,0,
4,4,6,2,0,5,
13,13,6,2,0,5,
7,7,8,8,0,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,0,3,3,0,0,
4,4,6,2,0,5,
13,13,6,2,0,5,
7,7,8,8,0,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,3,3,0,0,0,
4,4,6,2,0,5,
13,13,6,2,0,5,
7,7,8,8,0,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,0,0,0,0,
4,4,6,2,0,5,
13,13,6,2,0,5,
7,7,8,8,0,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,0,0,0,
4,4,6,2,0,5,
13,13,0,2,0,5,
7,7,8,8,0,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,2,0,0,
4,4,6,2,0,5,
13,13,0,0,0,5,
7,7,8,8,0,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,0,2,0,0,
4,4,6,2,0,5,
13,13,6,0,0,5,
7,7,8,8,0,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,3,3,2,0,0,
4,4,6,2,0,5,
13,13,6,0,0,5,
7,7,8,8,0,5,
1,9,10,11,11,11,
1,9,10,0,12,12,

0,3,3,2,0,5,
4,4,6,2,0,5,
13,13,6,0,0,5,
7,7,8,8,0,0,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,0,2,0,5,
4,4,6,2,0,5,
13,13,6,0,0,5,
7,7,8,8,0,0,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
13,13,0,0,0,5,
7,7,8,8,0,0,
1,9,10,11,11,11,
1,9,10,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
13,13,0,0,0,5,
7,7,8,8,0,0,
1,9,10,11,11,11,
1,9,10,12,12,0,

3,3,0,2,0,5,
4,4,6,2,0,5,
13,13,6,0,0,5,
7,7,8,8,0,0,
1,9,10,11,11,11,
1,9,10,12,12,0,

0,3,3,2,0,5,
4,4,6,2,0,5,
13,13,6,0,0,5,
7,7,8,8,0,0,
1,9,10,11,11,11,
1,9,10,12,12,0,

0,3,3,0,0,5,
4,4,6,2,0,5,
